locusregion,locuscity,Old City Code,Apartment,Homestay,Hostel,Villa,Cottage
111,CTXVB,XVB,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
RGXPR,CTXPR,XPR,AC,Caretaker,AC,Swimming Pool,Swimming Pool
RGXPR,CTXPR,XPR,Caretaker,Kitchen,Wifi,Caretaker,Caretaker
RGXPR,CTXPR,XPR,Kitchen,AC,Living Room,AC,AC
RGXPR,CTXPR,XPR,Living Room,Living Room,Kitchen,Kitchen,Kitchen
RGXPR,CTXPR,XPR,Balcony/Terrace,Wifi,Swimming Pool,Wifi,Wifi
RGXPR,CTXPR,XPR,Wifi,Balcony/Terrace,Parking,Balcony/Terrace,Balcony/Terrace
RGXPR,CTXPR,XPR,Lift/Elevator,Parking,Washing Machine,TV,TV
RGXPR,CTXPR,XPR,Swimming Pool,TV,Café,Washing Machine,Washing Machine
RGEASTS,CTXGA,XGA,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
RGEASTS,CTXGA,XGA,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
RGEASTS,CTXGA,XGA,Living Room,Kitchen,Living Room,Wifi,Wifi
RGEASTS,CTXGA,XGA,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
RGEASTS,CTXGA,XGA,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
RGEASTS,CTXGA,XGA,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
RGEASTS,CTXGA,XGA,Parking,TV,Café,TV,TV
RGEASTS,CTXGA,XGA,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
111,CTXNK,XNK,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
111,CTXNK,XNK,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
111,CTXNK,XNK,Living Room,Kitchen,Living Room,Wifi,Wifi
111,CTXNK,XNK,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
111,CTXNK,XNK,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
111,CTXNK,XNK,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
111,CTXNK,XNK,Parking,TV,Café,TV,TV
111,CTXNK,XNK,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
RGXLR,CTXLR,XLR,Kitchen,Caretaker,Wifi,Swimming Pool,Swimming Pool
RGXLR,CTXLR,XLR,Caretaker,Wifi,Bonfire,Caretaker,Caretaker
RGXLR,CTXLR,XLR,Living Room,Kitchen,Living Room,Wifi,Wifi
RGXLR,CTXLR,XLR,Balcony/Terrace,Living Room,Kitchen,Kitchen,Kitchen
RGXLR,CTXLR,XLR,TV,Balcony/Terrace,Parking,Bonfire/Fireplace,Bonfire/Fireplace
RGXLR,CTXLR,XLR,Wifi,Parking,Washing Machine,Balcony/Terrace,Balcony/Terrace
RGXLR,CTXLR,XLR,Parking,TV,Café,TV,TV
RGXLR,CTXLR,XLR,Lift/Elevator,Lawn,Indoor Games,Washing Machine,Washing Machine
