city,property_type,amenities
RGMAA,Hostel,Swimming Pool
RGMAA,Villa,TV
RGMAA,Cottage,TV
CTMAA,Apartment,Parking
CTMAA,Homestay,Parking
CTMAA,Hostel,Swimming Pool
CTMAA,Villa,TV
CTMAA,Cottage,TV
MAA,Apartment,Parking
MAA,Homestay,Parking
MAA,Hostel,Swimming Pool
MAA,Villa,TV
MAA,Cottage,TV
RGMAA,Apartment,Power Backup
RGMAA,Homestay,TV
RGMAA,Hostel,Mineral Water
RGMAA,Villa,Washing Machine
RGMAA,Cottage,Washing Machine
CTMAA,Apartment,Power Backup
CTMAA,Homestay,TV
CTMAA,Hostel,Mineral Water
CTMAA,Villa,Washing Machine
CTMAA,Cottage,Washing Machine
MAA,Apartment,Power Backup
MAA,Homestay,TV
MAA,Hostel,Mineral Water
MAA,Villa,Washing Machine
MAA,Cottage,Washing Machine
RGTHEN,Apartment,Kitchen
RGTHEN,Homestay,Caretaker
RGTHEN,Hostel,Wifi
RGTHEN,Villa,Swimming Pool
RGTHEN,Cottage,Swimming Pool
CTXOO,Apartment,Kitchen
CTXOO,Homestay,Caretaker
CTXOO,Hostel,Wifi
CTXOO,Villa,Swimming Pool
CTXOO,Cottage,Swimming Pool
XOO,Apartment,Kitchen
XOO,Homestay,Caretaker
XOO,Hostel,Wifi
XOO,Villa,Swimming Pool
XOO,Cottage,Swimming Pool
RGTHEN,Apartment,Caretaker
RGTHEN,Homestay,Wifi
RGTHEN,Hostel,Bonfire
RGTHEN,Villa,Caretaker
RGTHEN,Cottage,Caretaker
CTXOO,Apartment,Caretaker
CTXOO,Homestay,Wifi
CTXOO,Hostel,Bonfire
CTXOO,Villa,Caretaker
CTXOO,Cottage,Caretaker
XOO,Apartment,Caretaker
XOO,Homestay,Wifi
XOO,Hostel,Bonfire
XOO,Villa,Caretaker
XOO,Cottage,Caretaker
RGTHEN,Apartment,Living Room
RGTHEN,Homestay,Kitchen
RGTHEN,Hostel,Living Room
RGTHEN,Villa,Wifi
RGTHEN,Cottage,Wifi
CTXOO,Apartment,Living Room
CTXOO,Homestay,Kitchen
CTXOO,Hostel,Living Room
CTXOO,Villa,Wifi
CTXOO,Cottage,Wifi
XOO,Apartment,Living Room
XOO,Homestay,Kitchen
XOO,Hostel,Living Room
XOO,Villa,Wifi
XOO,Cottage,Wifi
RGTHEN,Apartment,Balcony/Terrace
RGTHEN,Homestay,Living Room
RGTHEN,Hostel,Kitchen
RGTHEN,Villa,Kitchen
RGTHEN,Cottage,Kitchen
CTXOO,Apartment,Balcony/Terrace
CTXOO,Homestay,Living Room
CTXOO,Hostel,Kitchen
CTXOO,Villa,Kitchen
CTXOO,Cottage,Kitchen
XOO,Apartment,Balcony/Terrace
XOO,Homestay,Living Room
XOO,Hostel,Kitchen
XOO,Villa,Kitchen
XOO,Cottage,Kitchen
RGTHEN,Apartment,TV
RGTHEN,Homestay,Balcony/Terrace
